"statistikkvariabel"	"statistikkmål"	"arbeidstid"	"kjønn"	"næring (SN2007)"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Månedslønn (kr)"	"Gjennomsnitt"	"I alt"	"Menn"	"00-99 Alle næringer"	46460	47390	48720	50450	51630	53710	56250
"Månedslønn (kr)"	"Gjennomsnitt"	"I alt"	"Kvinner"	"00-99 Alle næringer"	40160	41270	42620	44280	45190	47190	49280
"Månedslønn (kr)"	"Median"	"I alt"	"Menn"	"00-99 Alle næringer"	41000	41880	42940	44550	45580	47290	49370
"Månedslønn (kr)"	"Median"	"I alt"	"Kvinner"	"00-99 Alle næringer"	38080	39140	40270	42000	42710	44500	46170
"Månedslønn (kr)"	"Nedre kvartil"	"I alt"	"Menn"	"00-99 Alle næringer"	33310	34080	34960	36050	37100	38430	40100
"Månedslønn (kr)"	"Nedre kvartil"	"I alt"	"Kvinner"	"00-99 Alle næringer"	32060	32710	33620	34880	35720	36860	38310
"Månedslønn (kr)"	"Øvre kvartil"	"I alt"	"Menn"	"00-99 Alle næringer"	52700	53930	55320	57560	58920	61000	64030
"Månedslønn (kr)"	"Øvre kvartil"	"I alt"	"Kvinner"	"00-99 Alle næringer"	45000	46440	47920	49840	50570	53040	55110
"Månedslønn (kr)"	"Antall arbeidsforhold med lønn"	"I alt"	"Menn"	"00-99 Alle næringer"	1389388	1420167	1460492	1485814	1455595	1517764	1564427
"Månedslønn (kr)"	"Antall arbeidsforhold med lønn"	"I alt"	"Kvinner"	"00-99 Alle næringer"	1315910	1336428	1356819	1373220	1353232	1420409	1449584
"Månedslønn (kr)"	"Antall heltidsekvivalenter"	"I alt"	"Menn"	"00-99 Alle næringer"	1188133	1217364	1249854	1272461	1240822	1283042	1317088
"Månedslønn (kr)"	"Antall heltidsekvivalenter"	"I alt"	"Kvinner"	"00-99 Alle næringer"	962409	981246	997612	1013492	1001883	1037172	1056424
"Avtalt månedslønn (kr)"	"Gjennomsnitt"	"I alt"	"Menn"	"00-99 Alle næringer"	43680	44640	45810	47430	48570	50300	52520
"Avtalt månedslønn (kr)"	"Gjennomsnitt"	"I alt"	"Kvinner"	"00-99 Alle næringer"	38610	39680	40940	42490	43330	45180	47080
"Avtalt månedslønn (kr)"	"Median"	"I alt"	"Menn"	"00-99 Alle næringer"	39000	39930	40640	42080	43300	44830	46730
"Avtalt månedslønn (kr)"	"Median"	"I alt"	"Kvinner"	"00-99 Alle næringer"	36320	37350	38410	40000	40980	42620	44490
