"06501: Inntekter, gjeld, bruttoformue og utlignet skatt for personlige skogeiere og deres ektefelle/samboer (1 000 kr), etter statistikkvariabel, region og år"

"statistikkvariabel";"region";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Bruttoinntekt";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27830067;33913237
"Bruttoinntekt";"01 Østfold (-2019)";3540030;2951370;3274584;3597257;3459649;3655917;3840821;4018697;4169154;4412077;4879096;4729138;5186118;5189795;5348217;0;0
"Bruttoinntekt";"02-03 Oslo og Akershus (-2019)";11800324;6338905;8190890;8883510;7954369;9114254;9068376;9976524;10375303;11220883;13392014;12600559;12706309;13168173;13509382;0;0
"Bruttoinntekt";"06 Buskerud (-2019)";6806880;4096168;4623575;4859298;4704827;4929169;5400381;5760836;5951610;6302014;6948360;6742010;6808494;7515591;7361783;0;0
"Bruttoinntekt";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15975526;17643406
"Bruttoinntekt";"04 Hedmark (-2019)";5066790;4610476;5133484;5667173;5552489;5746248;5980751;6330503;6548713;6825172;7240949;7286660;7240242;7580465;7741747;0;0
"Bruttoinntekt";"05 Oppland (-2019)";5328154;4532170;5106863;5569280;5523874;5796701;6125976;6515321;6821221;7191954;7587463;7687819;7754147;8080794;8126352;0;0
"Bruttoinntekt";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9488598;10462780
"Bruttoinntekt";"07 Vestfold (-2019)";3052850;2344923;2669711;2979068;2737700;2883750;3075375;3277221;3347367;3566980;3948883;3867334;3940012;4084294;4224392;0;0
"Bruttoinntekt";"08 Telemark (-2019)";3359176;2815597;3205259;3476296;3477014;3628298;3899528;4170070;4421371;4618313;4971831;4846135;4895755;5079776;5148358;0;0
"Bruttoinntekt";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9044624;9989976
"Bruttoinntekt";"09 Aust-Agder (-2019)";2185879;1869933;2052550;2364095;2357693;2378980;2606037;2899804;3338649;3645512;3810653;4195115;3467609;3684327;3651514;0;0
"Bruttoinntekt";"10 Vest-Agder (-2019)";2837849;2509013;2792431;3176392;3111113;3338528;3746297;4165373;4257365;4423355;4759550;4676006;4852365;5033356;5211140;0;0
"Bruttoinntekt";"11 Rogaland";3344718;2658678;3081753;3587889;3558989;4072912;4443255;4821604;5151939;5423815;5683614;5571335;5597796;5716676;5951335;6195439;7123155
"Bruttoinntekt";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14673418;16782263
"Bruttoinntekt";"12 Hordaland (-2019)";4754968;4362142;4894540;5676283;5640134;5842774;6902783;7802519;8082691;8479970;9094674;9033369;8522507;9037247;9171999;0;0
"Bruttoinntekt";"14 Sogn og Fjordane (-2019)";2740182;2646649;2906072;3283122;3301352;3417571;4066454;4372013;4538602;4722852;5040736;5000545;5016875;5183657;5344601;0;0
"Bruttoinntekt";"15 Møre og Romsdal";3952892;3764352;4394044;4740439;4669630;4881033;5870418;6174251;6469015;6702531;7071945;7109655;7319957;7375225;7457069;7566225;8124683
"Bruttoinntekt";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;11857360;12234548;12759477;14480291
"Bruttoinntekt";"16 Sør-Trøndelag (-2017)";4179163;3556564;4021849;4549668;4444215;4740120;5165429;5542035;5747170;5952874;6594438;6889828;6456997;0;0;0;0
"Bruttoinntekt";"17 Nord-Trøndelag (-2017)";3147436;2980854;3340918;3587121;3569723;3696740;4144229;4470701;4574970;4721461;5043521;5078633;5003107;0;0;0;0
"Bruttoinntekt";"18 Nordland - Nordlánnda";3810800;3700164;4111774;4560745;4520925;4729430;5104224;5855553;6087069;6339738;6836303;6755260;6836146;6976079;7149940;7260723;8354883
"Bruttoinntekt";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6610378;6920739
"Bruttoinntekt";"19 Troms - Romsa (-2019)";2803569;2784398;3217163;3637300;3656616;3795272;4177739;4742922;4904048;5195715;5534307;5495574;5488486;5673849;5892530;0;0
"Bruttoinntekt";"20 Finnmark - Finnmárku (-2019)";245838;266515;273925;314532;309914;308219;300216;356234;361993;370610;387041;405384;392586;434946;432161;0;0
"Gjeld";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54223779;56306869
