Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
03;Oslo;0301;Oslo;;;A;Arbeiderpartiet;18,43454;570444;34902;31902;66804;-1,57329;;11;0;
03;Oslo;0301;Oslo;;;SV;SV - Sosialistisk Venstreparti;10,10307;570444;19851;16761;36612;1,00293;;6;0;
03;Oslo;0301;Oslo;;;RØDT;Rødt;5,77535;570444;11442;9487;20929;-1,42147;;4;0;
03;Oslo;0301;Oslo;;;SP;Senterpartiet;0,82481;570444;1233;1756;2989;-1,35869;;0;0;
03;Oslo;0301;Oslo;;;KRF;Kristelig Folkeparti;1,71641;570444;2946;3274;6220;-0,02;;1;0;
03;Oslo;0301;Oslo;;;MDG;Miljøpartiet De Grønne;10,20324;570444;20114;16861;36975;-5,05724;;6;0;
03;Oslo;0301;Oslo;;;V;Venstre;9,09364;570444;15415;17539;32954;3,31747;;6;0;
03;Oslo;0301;Oslo;;;H;Høyre;32,5615;570444;68186;49812;117998;7,1603;;20;0;
03;Oslo;0301;Oslo;;;FRP;Fremskrittspartiet;6,06427;570444;12593;9383;21976;0,79102;;4;0;
03;Oslo;0301;Oslo;;;AAN;Alliansen - Alternativ for Norge;0,12914;570444;274;194;468;0,12914;;0;0;
03;Oslo;0301;Oslo;;;DEMN;Norgesdemokratene;0,27098;570444;483;499;982;0,00612;;0;0;
03;Oslo;0301;Oslo;;;FNB;Folkets Parti;0,53755;570444;953;995;1948;-5,3032;;0;0;
03;Oslo;0301;Oslo;;;INP;Industri- og Næringspartiet;1,11346;570444;2114;1921;4035;1,11346;;0;0;
03;Oslo;0301;Oslo;;;KRISTNE;Konservativt;0,21386;570444;440;335;775;0,04668;;0;0;
03;Oslo;0301;Oslo;;;KYST;Kystpartiet;0,08472;570444;113;194;307;0,04121;;0;0;
03;Oslo;0301;Oslo;;;LIBS;Liberalistene;0,17274;570444;289;337;626;-0,04944;;0;0;
03;Oslo;0301;Oslo;;;NKP;Norges Kommunistiske Parti;0,10872;570444;140;254;394;0,03621;;0;0;
03;Oslo;0301;Oslo;;;PP;Pensjonistpartiet;0,5668;570444;1262;792;2054;-0,04037;;0;0;
03;Oslo;0301;Oslo;;;PS;Partiet Sentrum;1,23101;570444;1811;2650;4461;1,23101;;1;0;
03;Oslo;0301;Oslo;;;FSL;Folkestyret-listen;0,55052;570444;1458;537;1995;0,55052;;0;0;
03;Oslo;0301;Oslo;;;PMB;Partiet Mot Bompenger;0,24366;570444;422;461;883;0,24366;;0;0;
11;Rogaland;1101;Eigersund;;;A;Arbeiderpartiet;24,87543;11698;745;1152;1897;-8,11221;;8;0;
11;Rogaland;1101;Eigersund;;;SV;SV - Sosialistisk Venstreparti;4,35353;11698;143;189;332;-0,92503;;1;0;
11;Rogaland;1101;Eigersund;;;RØDT;Rødt;1,62602;11698;46;78;124;1,62602;;0;0;
11;Rogaland;1101;Eigersund;;;SP;Senterpartiet;5,07474;11698;96;291;387;-6,7056;;2;0;
11;Rogaland;1101;Eigersund;;;KRF;Kristelig Folkeparti;9,20535;11698;226;476;702;0,56288;;3;0;
11;Rogaland;1101;Eigersund;;;MDG;Miljøpartiet De Grønne;1,14083;11698;39;48;87;-1,07962;;0;0;
11;Rogaland;1101;Eigersund;;;V;Venstre;4,524;11698;127;218;345;2,1174;;1;0;
11;Rogaland;1101;Eigersund;;;H;Høyre;21,07265;11698;609;998;1607;5,05084;;7;0;
11;Rogaland;1101;Eigersund;;;FRP;Fremskrittspartiet;21,15132;11698;554;1059;1613;0,48918;;7;0;
11;Rogaland;1101;Eigersund;;;INP;Industri- og Næringspartiet;5,86153;11698;166;281;447;5,86153;;2;0;
11;Rogaland;1101;Eigersund;;;PP;Pensjonistpartiet;1,11461;11698;41;44;85;1,11461;;0;0;
11;Rogaland;1103;Stavanger;;;A;Arbeiderpartiet;32,08168;112861;12897;11000;23897;6,65961;;22;0;
11;Rogaland;1103;Stavanger;;;SV;SV - Sosialistisk Venstreparti;4,62759;112861;2047;1400;3447;-0,12699;;3;0;
11;Rogaland;1103;Stavanger;;;RØDT;Rødt;3,83149;112861;1670;1184;2854;-1,64984;;3;0;
11;Rogaland;1103;Stavanger;;;SP;Senterpartiet;2,12383;112861;755;827;1582;-2,66429;;1;0;
11;Rogaland;1103;Stavanger;;;KRF;Kristelig Folkeparti;4,59403;112861;1754;1668;3422;0,17626;;3;0;
11;Rogaland;1103;Stavanger;;;MDG;Miljøpartiet De Grønne;2,90114;112861;1232;929;2161;-3,58785;;2;0;
11;Rogaland;1103;Stavanger;;;V;Venstre;3,6771;112861;1373;1366;2739;-0,99223;;3;0;
11;Rogaland;1103;Stavanger;;;H;Høyre;30,33777;112861;13558;9040;22598;7,27203;;21;0;
11;Rogaland;1103;Stavanger;;;FRP;Fremskrittspartiet;8,75712;112861;3752;2771;6523;-0,11056;;6;0;
11;Rogaland;1103;Stavanger;;;DEMN;Norgesdemokratene;0,35308;112861;142;121;263;0,35308;;0;0;
